Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Icewind Stalwart,CLB,Commander Legends: Battle for Baldur's Gate,27,normal,common,1,69222,aeb153e2-345d-4993-9f2d-f0d0ddfbc8a7,de,01.03.2025
Nemesis Phoenix,CLB,Commander Legends: Battle for Baldur's Gate,403,normal,uncommon,2,69026,54d0aded-3db0-45a7-b9ab-5831c714096f,de,01.03.2025
"Jaheira, Friend of the Forest",CLB,Commander Legends: Battle for Baldur's Gate,237,normal,rare,1,69398,feb7ad1b-4466-48f7-b46d-cc83d4e22b51,de,01.03.2025
Veteran Soldier,CLB,Commander Legends: Battle for Baldur's Gate,48,normal,uncommon,1,68980,3f4f074e-914e-4924-8b5e-b80b247bc341,de,01.03.2025
Amber Gristle O'Maul,CLB,Commander Legends: Battle for Baldur's Gate,159,normal,uncommon,2,68955,34806912-daf8-4e5c-804f-af0858500438,de,01.03.2025
Crystal Dragon // Rob the Hoard,CLB,Commander Legends: Battle for Baldur's Gate,13,normal,uncommon,1,68964,384ec8b7-472e-4026-9632-349ab9df2b27,de,01.03.2025
Sapphire Dragon // Psionic Pulse,CLB,Commander Legends: Battle for Baldur's Gate,94,normal,uncommon,1,69269,c0deb9ea-a0d4-4c3f-888e-abd1995cf2b3,de,01.03.2025
Topaz Dragon // Entropic Cloud,CLB,Commander Legends: Battle for Baldur's Gate,153,normal,uncommon,1,69112,783adffd-449f-44a6-8faf-3e38a201b05b,de,01.03.2025
Hezrou // Demonic Stench,CLB,Commander Legends: Battle for Baldur's Gate,131,normal,common,2,68841,0c2f40e7-82b0-4847-994d-9326a88c4965,de,01.03.2025
Black Dragon Gate,CLB,Commander Legends: Battle for Baldur's Gate,347,normal,common,1,69282,c4ceb589-c741-44ac-98c8-3d997953ee61,de,01.03.2025
